Author,Reference,Highlight,Publishing date,Year,Cell,Wafer doping,Wafer type,Wafer initial surface,Resitivity,Thickness,Junction location,Rear texture,Front texture,Protection layer,Texturing process,Protection layer removal,Cleaning,Emitter type,Sheet resistance,Emitter process,BSF Sheet resistance,BSF type,BSF process,Annealing temperature ©,Annealing time (min),Passivation front,Passivation front process,interconnection,Inter-layer,Inter-layer thicknes,Inter-layer process,Inter-layer process temperature,Annealing temperature ©,Annealing time (min),Clean before perovskite,Photolithography,Oxidation time,Oxidation temperature,Surface removal,Surface removal process,Rear passivation,Rear local contact,Rear passivation process,Rear metal,Rear electrode,Rear TCO thickness,Rear metal thickness,Rear metal order,Rear metal process,Annealing temperature,Annealing time,Surface removal,Surface removal process,Perovskite polarity,ETL,HTL,Cell isolation,Substrate area,Cell area,Cell active area,Buffer layer,Front electrode,Front metal,Front TCO,Front TCO thickness,Total front TCO thickness,Front TCO process,Front metal thickness [nm],Grid,Finger width [um],Finger spacing [mm],Front metal process,Scan direction,Bandgap,Voc tandem,Jsc tandem,FF tandem,n tandem,Jsc silicon,Jsc perovskite,Certified,Stability conditions,Stability result,Damp heat,Voc silicon,FF silicon,n silicon,Jsc silicon cell,Obs,
Albrecht et al.,https://iopscience.iop.org/article/10.1088/2040-8978/18/6/064012,Optical optimisation,05/11/2016,2016,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,40,,,,,,,,,,,,,,Ag,AZO/Ag,70,,,,,,,,n-i-p,,,,-,0.16,0.09,MoOx,,,ITO,80,80,,,,,,,Reverse,,,,,18.8,,,No,,,,,,,,,
Albrecht et al.,https://iopscience.iop.org/article/10.1088/2040-8978/18/6/064012,Optical optimisation,05/11/2016,2016,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,40,,,,,,,,,,,,,,Ag,AZO/Ag,70,,,,,,,,n-i-p,,,,-,0.16,0.09,MoOx,,,ITO,80,80,,,,,,,Forward,,,,,17.9,,,No,,,,,,,,,
Albrecht et al.,https://iopscience.iop.org/article/10.1088/2040-8978/18/6/064012,Optical optimisation,05/11/2016,2016,SHJ,,,,,,,,,,,,,,,,,,,,,,,recombination,ITO,40,,,,,,,,,,,,,,Ag,AZO/Ag,70,,,,,,,,n-i-p,,,,-,0.16,0.09,MoOx,,,ITO,80,80,,,,,,,Tracking,,,,,17,,,No,,,,,,,,,
Werner et al.,https://aip.scitation.org/doi/full/10.1063/1.4971361,ZTO as a high-temperature stable recombination layer,05/12/2016,2016,homojunction,n-type,FZ,SSP,15,375,Front,Lapped,Planar,SiO2 - Thermal,-,HF dip,RCA,Si(p),,ion implantation,,Si(n),ion implantation,1050 / 423,80 / 30,-,-,recombination,ZTO,89-160,magnetron RF sputtering,60,-,-,,Yes,,,Oxide,HF,None,No,None,Al,Al,0,320,Not clear,electron-beam evaporation,380,-,,,n-i-p,TiO2,Spiro-OMeTAD,,-,1.43,1.43,MoOx,IO:H/ITO/Au,Au,IO:H/ITO,90/10,100,,Not clear,No,0,0,thermal evaporation,Reverse?,Not clear,1643,15.3,64.8,16.3,17.3,16.78,No,,,,,,,,Voc silicon estimated to be 640 mV (Quokka),
Werner et al.,https://aip.scitation.org/doi/full/10.1063/1.4971362,ZTO as a high-temperature stable recombination layer,05/12/2016,2016,homojunction,n-type,FZ,SSP,15,375,Front,Lapped,Planar,SiO2 - Thermal,-,HF dip,RCA,Si(p),,ion implantation,,Si(n),ion implantation,1050 / 423,80 / 30,-,-,recombination,ZTO,89-160,magnetron RF sputtering,60,-,-,,Yes,,,Oxide,HF,None,No,None,Al,Al,0,320,Not clear,electron-beam evaporation,380,-,,,n-i-p,TiO2,Spiro-OMeTAD,,-,1.43,1.43,MoOx,IO:H/ITO/Au,Au,IO:H/ITO,90/10,100,,Not clear,No,0,0,thermal evaporation,Tracking,Not clear,,,,16,17.3,16.78,No,,,,,,,,Voc silicon estimated to be 640 mV (Quokka),
Werner et al.,https://aip.scitation.org/doi/full/10.1063/1.4971363,ZTO as a high-temperature stable recombination layer,05/12/2016,2016,homojunction,n-type,FZ,SSP,15,375,Front,Lapped,Planar,SiO2 - Thermal,-,HF dip,RCA,Si(p),,ion implantation,,Si(n),ion implantation,1050 / 423,80 / 30,-,-,recombination,ZTO,89-160,magnetron RF sputtering,60,-,-,,Yes,,,Oxide,HF,None,No,None,Al,Al,0,320,Not clear,electron-beam evaporation,380,-,,,n-i-p,TiO2,Spiro-OMeTAD,,-,0.25,0.25,MoOx,IO:H/ITO/Au,Au,IO:H/ITO,90/10,100,,Not clear,No,0,0,thermal evaporation,Reverse,Not clear,1677,15.3,67.6,17.4,16.93,17,No,,,,,,,,Voc silicon estimated to be 640 mV (Quokka),
Werner et al.,https://aip.scitation.org/doi/full/10.1063/1.4971364,ZTO as a high-temperature stable recombination layer,05/12/2016,2016,homojunction,n-type,FZ,SSP,15,375,Front,Lapped,Planar,SiO2 - Thermal,-,HF dip,RCA,Si(p),,ion implantation,,Si(n),ion implantation,1050 / 423,80 / 30,-,-,recombination,ZTO,89-160,magnetron RF sputtering,60,-,-,,Yes,,,Oxide,HF,None,No,None,Al,Al,0,320,Not clear,electron-beam evaporation,380,-,,,n-i-p,TiO2,Spiro-OMeTAD,,-,0.25,0.25,MoOx,IO:H/ITO/Au,Au,IO:H/ITO,90/10,100,,Not clear,No,0,0,thermal evaporation,Forward,Not clear,1689,15.3,66.3,17.2,16.93,17,No,,,,,,,,Voc silicon estimated to be 640 mV (Quokka),
Werner et al.,https://aip.scitation.org/doi/full/10.1063/1.4971365,ZTO as a high-temperature stable recombination layer,05/12/2016,2016,homojunction,n-type,FZ,SSP,15,375,Front,Lapped,Planar,SiO2 - Thermal,-,HF dip,RCA,Si(p),,ion implantation,,Si(n),ion implantation,1050 / 423,80 / 30,-,-,recombination,ZTO,89-160,magnetron RF sputtering,60,-,-,,Yes,,,Oxide,HF,None,No,None,Al,Al,0,320,Not clear,electron-beam evaporation,380,-,,,n-i-p,TiO2,Spiro-OMeTAD,,-,0.25,0.25,MoOx,IO:H/ITO/Au,Au,IO:H/ITO,90/10,100,,Not clear,No,0,0,thermal evaporation,Tracking,Not clear,,,,16.4,16.93,17,No,,,,,,,,Voc silicon estimated to be 640 mV (Quokka),
Bush et al.,https://www.nature.com/articles/nenergy20179,Record PCE at the time,17/02/2017,2017,SHJ,n-type,FZ,DSP,Not clear,280,Rear,Textured,Planar,SiNx - PECVD,KOH,HF dip,Piranha etch + RCA-B + BOE,a-Si:H(p),Not clear,PECVD,Not clear,a-Si:H(n),PECVD,Not clear,Not clear,a-Si:H(i),PECVD,recombination,ITO,20,sputtering,Not clear,200,Not clear,Not clear,None,,,,,a-Si:H(i),Yes - Ag/TCO,PECVD,Ag,ITO/Ag,20,200,Not clear,Sputtering,200,20,,,p-i-n,SnO2/ZTO,NiOx,Not clear,Not clear,1.21,1,None,ITO/Ag,Ag,ITO,150,150,DC sputtering,Not clear,No,0,0,evaporation,Reverse,1.63,1650,18.1,79,23.6,18.5,18.9,Yes,,,,,,,,,
Bush et al.,https://www.nature.com/articles/nenergy20180,Record PCE at the time,17/02/2017,2017,SHJ,n-type,FZ,DSP,Not clear,280,Rear,Textured,Planar,SiNx - PECVD,KOH,HF dip,Piranha etch + RCA-B + BOE,a-Si:H(p),Not clear,PECVD,Not clear,a-Si:H(n),PECVD,Not clear,Not clear,a-Si:H(i),PECVD,recombination,ITO,20,sputtering,Not clear,200,Not clear,Not clear,None,,,,,a-Si:H(i),Yes - Ag/TCO,PECVD,Ag,ITO/Ag,20,200,Not clear,Sputtering,200,20,,,p-i-n,SnO2/ZTO,NiOx,Not clear,Not clear,1.21,1,None,ITO/Ag,Ag,ITO,150,150,DC sputtering,Not clear,No,0,0,evaporation,Forward,1.63,1650,18.1,79,23.6,18.5,18.9,Yes,,,,,,,,,
